"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"08.12.2008 16:40";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:41";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:42";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:43";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:44";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:45";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:46";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:47";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:48";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:49";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:50";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:51";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:52";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:53";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:54";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:55";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:56";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:57";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:58";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:59";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:00";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:01";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:02";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:03";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:04";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:05";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:06";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:07";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:08";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:09";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:10";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:11";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:12";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:13";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:14";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:15";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:16";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:17";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:18";"20.0";"54";"7.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:19";"20.0";"54";"7.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:20";"20.0";"54";"7.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:21";"20.0";"54";"7.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:22";"20.0";"54";"7.4";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:23";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:24";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:25";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:26";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:27";"20.0";"54";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:28";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 17:29";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
